"tipo_elem";distrito;id;id_cruce;"localizaci";num;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10612;4793;"MARIA DE LAS MERCEDES DE BORBON";6;"2023-10-27 14:36:01";447142.510597776;4483073.633492197;-3.62377335727646;40.49668509921784
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10611;4793;"MARIA DE LAS MERCEDES DE BORBON";6;"2023-10-27 14:36:01";447140.891474172;4483073.66722394;-3.62379246635858;40.4966852999623
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10606;4794;"MARIA DE LAS MERCEDES DE BORBON";3;"2023-10-27 14:36:47";447142.519003865;4483142.137083717;-3.62377897355612;40.49730221379023
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10607;4794;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:36:47";447142.67438534;4483150.017144262;-3.62377779744762;40.49737321114299
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10605;4794;"MARIA DE LAS MERCEDES DE BORBON";;"2023-10-27 14:36:47";447128.512473713;4483143.180359338;-3.62394434446117;40.49731071988037
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;10608;4794;"MARIA DE LAS MERCEDES DE BORBON";3;"2023-10-27 14:36:47";447154.150417176;4483149.994946908;-3.62364237271613;40.49737374205198
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11295;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447975.172532895;4481983.566838518;-3.61385812816229;40.4869178323667
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11292;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447982.719928379;4481973.559058604;-3.61376825750727;40.48682814997932
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11297;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447958.548313768;4481990.94799181;-3.61405487814627;40.48698328369437
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11294;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447996.085800557;4481968.638289742;-3.61361015424117;40.48678465848758
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";16;11298;4824;"AV. JUAN ANTONIO SAMARANCH";;"2025-04-10 00:00:00";447961.407679458;4481986.426204207;-3.61402077011606;40.48694272830492
