distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
8;1976;"NTRA. SRA. DE VALVERDE - ANTONIO CABEZON";"28/10/2006";441906.568647294;4483774.985395421;-3.68562322926096;40.50265313636122
8;1530;"NTRA. SRA. VALVERDE - ALONSO QUIJANO";"08/06/1998";441917.834973507;4484013.975365982;-3.68551219016476;40.50480683520155
8;1924;"NTRA. SRA. DE VALVERDE - MONASTERIO ARLANZA";"08/02/2006";441889.89139817;4484299.563527498;-3.68586817773933;40.50737756105715
8;829;"AV. CARDENAL HERRERA ORIA - SANCHONUÑO";"01/01/1978";441533.377688196;4482520.537733646;-3.68991158741088;40.49132639168189
8;1593;"AFUERAS VALVERDE - ALDONZA LORENZO";"30/07/1999";441534.776338465;4483213.356631134;-3.68995901250141;40.49756766346009
8;1592;"AFUERAS VALVERDE - BELLA ALTISIDORA";"30/07/1999";441322.070182979;4483278.109271954;-3.69247502145211;40.49813596620607
8;4524;"MONASTERIO SILOS - MONASTERIO ARLANZA";"20/06/2018";441405.832892364;4484616.508139887;-3.69161041233163;40.51019866080888
8;4525;"MONASTERIO EL ESCORIAL - MONASTERIO ARLANZA";"20/06/2018";441322.536596765;4484671.435407275;-3.69259861445868;40.51068757655461
8;1853;"MONASTERIO SILOS - MONASTERIO LAS HUELGAS";"12/11/2004";440106.866344388;4483887.55936219;-3.70687259107373;40.50353928023161
8;1852;"MONASTERIO EL ESCORIAL - MONASTERIO LAS HUELGAS";"12/11/2004";440114.96901889;4483991.679245629;-3.70678681376985;40.50447781125375
8;1850;"MONASTERIO EL ESCORIAL - MONASTERIO MONTESCLAROS";"11/11/2004";440471.455597118;4483964.266088043;-3.70257714267239;40.50425651890568
8;1849;"MONTECARMELO - MONASTERIO SUSO Y YUSO";"08/11/2004";440884.382703813;4483783.268234464;-3.69768707917283;40.5026555520484
8;1857;"MONASTERIO SILOS - MONASTERIO SOBRADO";"15/11/2004";441337.580358201;4484500.575806313;-3.69240522684887;40.50914947799246
