"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"other";10;49506;1437;"1995-10-11 00:00:00";436120.600128905;4472677.542704128;-3.75278787823249;40.40225858182091
"other";10;49508;1437;"1995-10-11 00:00:00";436119.728685017;4472678.607085476;-3.75279825375182;40.4022681033331
"other";10;49512;1355;"2022-07-28 00:00:00";435933.074314562;4472432.575652897;-3.75497294396642;40.40003741466339
"other";20;49515;1984;"2007-02-27 00:00:00";448421.754511546;4476147.848847424;-3.60811479794139;40.43437419731264
"other";20;49516;1984;"2007-02-27 00:00:00";448426.980825436;4476148.932387602;-3.60805327018448;40.43438428260522
"SEMAFORO 2/200 PEATON - BICI";20;49518;1984;"2007-02-27 00:00:00";448423.349643657;4476144.616534331;-3.60809572979047;40.43434517756556
"other";20;49521;1189;"1990-02-28 00:00:00";447572.544252069;4476101.780500262;-3.61812275821916;40.43390608852211
"other";10;49524;1364;"2017-11-03 00:00:00";435569.732582837;4471057.9703997;-3.75911517917375;40.38762639312897
"other";10;49525;1364;"2017-11-03 00:00:00";435568.679345317;4471058.161008421;-3.75912760662824;40.38762802875161
"other";12;49529;1203;"2020-09-04 00:00:00";439222.279681341;4469494.236453019;-3.71593513284901;40.37381397308761
"other";12;49532;1203;"1990-06-11 00:00:00";439222.513726062;4469492.948238487;-3.71593225328501;40.37380238525494
"other";12;49533;1203;"1990-06-11 00:00:00";439262.556399378;4469494.9583264;-3.71546079446913;40.3738234121163
"other";11;49534;1341;"2020-09-24 00:00:00";436050.923242594;4469846.298198501;-3.75332466961125;40.37674821046198
"other";10;49537;1383;"1993-12-01 00:00:00";435001.616442001;4471220.269752131;-3.76582470030938;40.38904431730153
"other";10;49539;1383;"1993-12-01 00:00:00";434995.798702955;4471224.008084005;-3.76589362183789;40.38907753969518
"other";10;49541;245;"2014-09-15 00:00:00";437323.579484814;4473487.837376851;-3.73869227375669;40.4096494770618
"other";10;49542;1669;"2015-05-18 00:00:00";434090.061663955;4470144.395674111;-3.77645260579322;40.37928081788725
"other";10;49499;962;"2022-07-07 00:00:00";436535.55958166;4472873.407352056;-3.74791770648149;40.4040547412855
"other";10;49501;962;"1980-04-16 00:00:00";436536.054980918;4472872.124777324;-3.747911740873;40.40404322509711
"other";10;49502;962;"2022-07-07 00:00:00";436431.924845368;4472835.865074149;-3.74913517603036;40.40370863943998
"other";10;49503;962;"2022-07-07 00:00:00";436438.535467332;4472838.256774638;-3.74905751651657;40.40373068951963
"other";10;49505;962;"1980-04-16 00:00:00";436435.810661907;4472844.830692365;-3.74909028163264;40.40378970198896
"other";10;49507;1437;"1995-10-11 00:00:00";436115.508317851;4472673.59140999;-3.75284748130288;40.40222259635079
"other";10;49509;1355;"2022-07-28 00:00:00";435958.699570129;4472488.085994482;-3.75467658163214;40.40053944487785
"other";10;49510;1355;"2022-07-28 00:00:00";435956.484982783;4472481.025900414;-3.7547019664096;40.40047567444408
"other";10;49511;1355;"2022-07-28 00:00:00";435935.052184625;4472438.897326662;-3.75495027457466;40.40009451496443
"other";10;49513;1355;"1992-12-22 00:00:00";435933.776094614;4472439.024814547;-3.7549653237891;40.40009556524848
"other";10;49514;1355;"1992-12-22 00:00:00";435957.855565151;4472481.389958973;-3.75468585313721;40.4004790594381
"other";20;49517;1984;"2007-02-27 00:00:00";448434.407875007;4476149.71220228;-3.60796577215822;40.43439176816746
"other";20;49522;1189;"1990-02-28 00:00:00";447572.416368668;4476091.630777459;-3.61812342860536;40.4338146456673
